Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"6,11,289",6.70%,"21,00,000", Arkansas
2,Amazon,Retail and Cloud Computing,"5,13,983",9.40%,"15,40,000", Washington
3,Exxon Mobil,Petroleum industry,"4,13,680",44.80%,"62,000", Texas
4,Apple,Electronics industry,"3,94,328",7.80%,"1,64,000", California
5,UnitedHealth Group,Healthcare,"3,24,162",12.70%,"4,00,000", Minnesota
6,CVS Health,Healthcare,"3,22,467",10.40%,"2,59,500", Rhode Island
7,Berkshire Hathaway,Conglomerate,"3,02,089",9.40%,"3,83,000", Nebraska
8,Alphabet,Technology,"2,82,836",9.80%,"1,56,000", California
9,McKesson Corporation,Health,"2,76,711",4.80%,"48,500", Texas
10,Chevron Corporation,Petroleum industry,"2,46,252",51.60%,"43,846", California
11,AmerisourceBergen,Pharmaceutical industry,"2,38,587",11.50%,"41,500", Pennsylvania
12,Costco,Retail,"2,26,954",15.80%,"3,04,000", Washington
13,Microsoft,Technology,"1,98,270",18.00%,"2,21,000", Washington
14,Cardinal Health,Healthcare,"1,81,364",11.60%,"46,035", Ohio
15,Cigna,Health Insurance,"1,80,516",3.70%,"70,231", Connecticut
16,Marathon Petroleum,Petroleum industry,"1,80,012",27.60%,"17,800", Ohio
17,Phillips 66,Petroleum industry,"1,75,702",53.00%,"13,000", Texas
18,Valero Energy,Petroleum industry,"1,71,189",58.00%,"9,743", Texas
19,Ford Motor Company,Automotive industry,"1,58,057",15.90%,"1,73,000", Michigan
20,The Home Depot,Retail,"1,57,403",4.10%,"4,71,600", Georgia
21,General Motors,Automotive,"1,56,735",23.40%,"1,67,000", Michigan
22,Elevance Health,Healthcare,"1,56,595",13.00%,"1,02,200", Indiana
23,JPMorgan Chase,Financial services,"1,54,792",21.70%,"2,93,723", New York
24,Kroger,Retail,"1,48,258",7.50%,"4,30,000", Ohio
25,Centene,Healthcare,"1,44,547",14.70%,"74,300", Missouri
26,Verizon Communications,Telecommunications,"1,36,835",2.40%,"1,17,100", New York
